path,category,bytes,sha256
results/analysis/api_audit_import_roundtrip_check.csv,analysis_table,797,ed06a688bba50f1f8dde51afebc9d5781726e7071bcdf27afd53cee07dbedc64
results/analysis/api_audit_manifest_integrity_check.csv,analysis_table,989,986835938ea8634699d39e9a00f2e6d31999e2c2e7cbecdaaaaebd4e2ce71b62
results/analysis/api_audit_smoke_10_v4_prompt_budget_summary.csv,analysis_table,770,e1b4c7e196d3d9ccf7b821b6a8a30313b88db8dae12a7750f07a1062ed99afc7
results/analysis/api_audit_smoke_10_v5_prompt_budget_summary.csv,analysis_table,770,8836d8f96f2bcf3201d2f50a34d0afee17d09e05e9f73092d2c2667ff36cbaa6
results/analysis/banglatlit_spelling_variation_summary.csv,analysis_table,261,1d2c01a04ea86989e163e7f09b9a2c58109dc52dbbe9c4f8a0e5d5fda824b7cd
results/analysis/banglatlit_spelling_variation_tokens.csv,analysis_table,69847,18d12994775fd52fae8503078b1f3d7a6bfb81a972feb541a34cb168bb261d15
results/analysis/banglatlit_vs_validation200_v4_banglish_distribution_items.csv,analysis_table,690001,d5dc4d676556e7b6b4b88d460b9d526d71dc2469c3fb104061fd5952cc9c4092
results/analysis/banglatlit_vs_validation200_v4_banglish_distribution_summary.csv,analysis_table,402,8223d3973c1503f738d19ba2927ba9f7a1d5605da7cc4aa126ebd41dc12bff4e
results/analysis/banglatlit_vs_validation200_v4_banglish_top_words.csv,analysis_table,4898,53812dbe7896984a15c8185dcd64a770ec85ea1fff8ffc458a076aa14172db92
results/analysis/banglatlit_vs_validation200_v5_banglish_distribution_items.csv,analysis_table,689826,18b74e6b024eb869ad7d12e9adac1c9dd3aceab0b2718fb5eb4477023add7d00
results/analysis/banglatlit_vs_validation200_v5_banglish_distribution_summary.csv,analysis_table,403,3ce56deabc9dc80aa426fe8fe42bd7d5bcb10d02cd832d6a35c81c5df8a97f79
results/analysis/banglatlit_vs_validation200_v5_banglish_top_words.csv,analysis_table,4896,01a2075c9453b230f5c841318f7c8bc86adef7c55627b29edb40f53abe0a82d0
results/analysis/banglish_error_taxonomy.csv,analysis_table,37758,91907043eda93328e99f9e5e80db7d9ed58aeeca4e88b2cf14696601e0061f3d
results/analysis/benqa_extended_1000_v1_ai_review_queue.csv,analysis_table,187168,5af9feaa2244c743ce7dbdbe94ebfb1836fdf2a2b179341608d51ef25402149a
results/analysis/benqa_extended_1000_v1_human_review_decisions.jsonl,analysis_table,181190,aac6ea0d4fab440b3c8dc47df32c2b0a07d6fd1c3022f45bc89b0edfb3fe07c3
results/analysis/benqa_extended_1000_v1_human_review_queue.csv,analysis_table,144142,9a5b72a432fb8e7adab8ce03501e66c594ed3d198f05ed3fdac04d9e6035372d
results/analysis/benqa_extended_1000_v1_human_review_template.csv,analysis_table,251744,22715cd7fb840289c810660d1ea3c4697e1340b505fb21df9d94427bcec47052
results/analysis/benqa_human_gold_974_scale_summary.csv,analysis_table,1116,0eb709550e28b62a73b5e51d193f6b16ee5aa61628b375582dd118d8272988ce
results/analysis/benqa_human_gold_974_subject_breakdown.csv,analysis_table,2440,ea8509724c86cbf81e374914cfd587bbaf9b8e186db95b7fd335d28a2545fd41
results/analysis/benqa_human_gold_974_subject_breakdown_table.csv,analysis_table,2440,ea8509724c86cbf81e374914cfd587bbaf9b8e186db95b7fd335d28a2545fd41
results/analysis/bnbphoneticparser_dev50_benqa_mcq_generated_bn_audit_items.csv,analysis_table,19903,64d3408227c7d7a07e2e513f49a159f1c278bb445e7bff343616decb426bf5b0
results/analysis/bnbphoneticparser_dev50_benqa_mcq_generated_bn_audit_summary.csv,analysis_table,284,2e18ebd27a82b9103a9a08c27d1444ed5f02ed921e3eeba3dd67d025c08437a6
results/analysis/bnbphoneticparser_protected_dev50_benqa_mcq_generated_bn_audit_items.csv,analysis_table,18601,c9e2273c438fd652b82d4f40bb60c7c8d27f57c68b775dc18b7785e1f7955b3f
results/analysis/bnbphoneticparser_protected_dev50_benqa_mcq_generated_bn_audit_summary.csv,analysis_table,283,50202aba2525975ce6796cc95af21fdec508100072aac31f3e4f6572f2d20330
results/analysis/bnbphoneticparser_protected_v2_dev50_benqa_mcq_generated_bn_audit_items.csv,analysis_table,18375,e3fdd1f6020c36b22738deeb3c00dd3db6399ef333059d66cce0633ffcf13c24
results/analysis/bnbphoneticparser_protected_v2_dev50_benqa_mcq_generated_bn_audit_summary.csv,analysis_table,283,f193973b0259b55d26d345ccf431986810232683b41d086a8e9b6824207605cc
results/analysis/bnbphoneticparser_protected_v2_v5_dev50_benqa_mcq_generated_bn_audit_items.csv,analysis_table,18376,a9aba57e8f7d95f28a501fc60647cc7802a0658c1a601bf8044b29509a7f4014
results/analysis/bnbphoneticparser_protected_v2_v5_dev50_benqa_mcq_generated_bn_audit_summary.csv,analysis_table,283,f193973b0259b55d26d345ccf431986810232683b41d086a8e9b6824207605cc
results/analysis/bnbphoneticparser_protected_v3_v5_dev50_benqa_mcq_generated_bn_audit_items.csv,analysis_table,18330,fab97d35cfda8b37dd32314ac665e021dc4f1763b31c81dab34197e69ab8562f
results/analysis/bnbphoneticparser_protected_v3_v5_dev50_benqa_mcq_generated_bn_audit_summary.csv,analysis_table,281,795ce113472b394db5f353b44d866559f3c4e1e5717498bd638c1ea1b2a79c2a
results/analysis/bnsentmix_external_validation_items.csv,analysis_table,45943,7887eb8324d1a68cd5a3b8c66221d844215445089ab717bdd375a5890e690204
results/analysis/bnsentmix_external_validation_summary.csv,analysis_table,4766,5a63c54c99754d6f57eaebb4f69465821ba732276038214c092661c41c2c6c55
results/analysis/bnsentmix_model_complementarity_items.csv,analysis_table,23537,725e9799c82b069a08c53598f11052e52f514e32df28a18b64181c156ac1bd80
results/analysis/bnsentmix_model_complementarity_summary.csv,analysis_table,3080,e5995d2355c2e366b0f2f316d9ac396d9222a94d05461205765c5d658018d194
results/analysis/bnsentmix_routing_devtest_candidates.csv,analysis_table,2214,1af5e91168ba404e23d2f8b08b2e74e727695cf365de1a093aa15ddf4f72b9dc
results/analysis/bnsentmix_routing_devtest_summary.csv,analysis_table,2400,338681fbacb2c9bc3ae47dffc56a31cb271f098b5329230474c429e0f17d7e61
results/analysis/citation_readiness_check.csv,analysis_table,2572,272a482d80eeb65329b2f3077d6eae9124abded19a294d4a21faf12c929b1b94
